Date_reported,Country,WHO_region,New_cases,Cumulative_cases,Cumulative_cases,New_deaths,Cumulative_deaths
08-Sep-21,India,SEAR,37875,33096718,33096718,369,441411
09-Sep-21,India,SEAR,43263,33139981,33139981,338,441749
10-Sep-21,India,SEAR,34973,33174954,33174954,260,442009
11-Sep-21,India,SEAR,33376,33208330,33208330,308,442317
12-Sep-21,India,SEAR,28591,33236921,33236921,338,442655
13-Sep-21,India,SEAR,27254,33264175,33264175,219,442874
14-Sep-21,India,SEAR,25404,33289579,33289579,339,443213
15-Sep-21,India,SEAR,27176,33316755,33316755,284,443497
16-Sep-21,India,SEAR,30570,33347325,33347325,431,443928
17-Sep-21,India,SEAR,34403,33381728,33381728,320,444248
18-Sep-21,India,SEAR,35662,33417390,33417390,281,444529
19-Sep-21,India,SEAR,30773,33448163,33448163,309,444838
20-Sep-21,India,SEAR,30256,33478419,33478419,295,445133
21-Sep-21,India,SEAR,26115,33504534,33504534,252,445385
22-Sep-21,India,SEAR,26964,33531498,33531498,383,445768
23-Sep-21,India,SEAR,31923,33563421,33563421,282,446050
24-Sep-21,India,SEAR,31382,33594803,33594803,318,446368
25-Sep-21,India,SEAR,29616,33624419,33624419,290,446658
26-Sep-21,India,SEAR,28326,33652745,33652745,260,446918
27-Sep-21,India,SEAR,26041,33678786,33678786,276,447194
28-Sep-21,India,SEAR,18795,33697581,33697581,179,447373
29-Sep-21,India,SEAR,18870,33716451,33716451,378,447751
30-Sep-21,India,SEAR,23529,33739980,33739980,311,448062
01-Oct-21,India,SEAR,26727,33766707,33766707,277,448339
02-Oct-21,India,SEAR,24354,33791061,33791061,234,448573
03-Oct-21,India,SEAR,22842,33813903,33813903,244,448817
04-Oct-21,India,SEAR,20799,33834702,33834702,180,448997
05-Oct-21,India,SEAR,18346,33853048,33853048,263,449260
06-Oct-21,India,SEAR,18833,33871881,33871881,278,449538
07-Oct-21,India,SEAR,22431,33894312,33894312,318,449856
08-Oct-21,India,SEAR,21257,33915569,33915569,271,450127
09-Oct-21,India,SEAR,19740,33935309,33935309,248,450375
10-Oct-21,India,SEAR,18166,33953475,33953475,214,450589
11-Oct-21,India,SEAR,18132,33971607,33971607,193,450782
12-Oct-21,India,SEAR,14313,33985920,33985920,181,450963
13-Oct-21,India,SEAR,15823,34001743,34001743,226,451189
14-Oct-21,India,SEAR,18987,34020730,34020730,246,451435
15-Oct-21,India,SEAR,16862,34037592,34037592,379,451814
16-Oct-21,India,SEAR,15981,34053573,34053573,166,451980
17-Oct-21,India,SEAR,14146,34067719,34067719,144,452124
18-Oct-21,India,SEAR,13596,34081315,34081315,166,452290
19-Oct-21,India,SEAR,13058,34094373,34094373,164,452454
20-Oct-21,India,SEAR,14623,34108996,34108996,197,452651
21-Oct-21,India,SEAR,18454,34127450,34127450,160,452811
22-Oct-21,India,SEAR,15786,34143236,34143236,231,453042
23-Oct-21,India,SEAR,16326,34159562,34159562,666,453708
24-Oct-21,India,SEAR,15906,34175468,34175468,561,454269
25-Oct-21,India,SEAR,14306,34189774,34189774,443,454712
26-Oct-21,India,SEAR,12428,34202202,34202202,356,455068
27-Oct-21,India,SEAR,13451,34215653,34215653,585,455653
28-Oct-21,India,SEAR,16156,34231809,34231809,733,456386
29-Oct-21,India,SEAR,14348,34246157,34246157,805,457191
30-Oct-21,India,SEAR,14313,34260470,34260470,549,457740
31-Oct-21,India,SEAR,12830,34273300,34273300,446,458186
01-Nov-21,India,SEAR,12514,34285814,34285814,251,458437
02-Nov-21,India,SEAR,10423,34296237,34296237,443,458880
03-Nov-21,India,SEAR,11903,34308140,34308140,311,459191
04-Nov-21,India,SEAR,12885,34321025,34321025,461,459652
05-Nov-21,India,SEAR,12729,34333754,34333754,221,459873
06-Nov-21,India,SEAR,10929,34344683,34344683,392,460265
07-Nov-21,India,SEAR,10853,34355536,34355536,526,460791
08-Nov-21,India,SEAR,11451,34366987,34366987,266,461057
09-Nov-21,India,SEAR,10126,34377113,34377113,332,461389
10-Nov-21,India,SEAR,11466,34388579,34388579,460,461849
11-Nov-21,India,SEAR,13091,34401670,34401670,340,462189
12-Nov-21,India,SEAR,12516,34414186,34414186,501,462690
13-Nov-21,India,SEAR,11850,34426036,34426036,555,463245
14-Nov-21,India,SEAR,11271,34437307,34437307,285,463530
15-Nov-21,India,SEAR,10229,34447536,34447536,125,463655
16-Nov-21,India,SEAR,8865,34456401,34456401,197,463852
17-Nov-21,India,SEAR,10197,34466598,34466598,301,464153
18-Nov-21,India,SEAR,11919,34478517,34478517,470,464623
19-Nov-21,India,SEAR,11106,34489623,34489623,459,465082
20-Nov-21,India,SEAR,10302,34499925,34499925,267,465349
21-Nov-21,India,SEAR,10488,34510413,34510413,313,465662
22-Nov-21,India,SEAR,8488,34518901,34518901,249,465911
23-Nov-21,India,SEAR,7579,34526480,34526480,236,466147
24-Nov-21,India,SEAR,9283,34535763,34535763,437,466584
25-Nov-21,India,SEAR,9119,34544882,34544882,396,466980
26-Nov-21,India,SEAR,10549,34555431,34555431,488,467468
27-Nov-21,India,SEAR,8318,34563749,34563749,465,467933
28-Nov-21,India,SEAR,8774,34572523,34572523,621,468554
29-Nov-21,India,SEAR,8309,34580832,34580832,236,468790
30-Nov-21,India,SEAR,6990,34587822,34587822,190,468980
01-Dec-21,India,SEAR,8954,34596776,34596776,267,469247
02-Dec-21,India,SEAR,9765,34606541,34606541,477,469724
03-Dec-21,India,SEAR,9216,34615757,34615757,391,470115
04-Dec-21,India,SEAR,8603,34624360,34624360,415,470530
05-Dec-21,India,SEAR,8895,34633255,34633255,2796,473326
06-Dec-21,India,SEAR,8306,34641561,34641561,211,473537
07-Dec-21,India,SEAR,6822,34648383,34648383,220,473757
08-Dec-21,India,SEAR,8439,34656822,34656822,195,473952
09-Dec-21,India,SEAR,9419,34666241,34666241,159,474111
10-Dec-21,India,SEAR,8503,34674744,34674744,624,474735
11-Dec-21,India,SEAR,7992,34682736,34682736,393,475128
12-Dec-21,India,SEAR,7774,34690510,34690510,306,475434
13-Dec-21,India,SEAR,7350,34697860,34697860,202,475636
14-Dec-21,India,SEAR,5784,34703644,34703644,252,475888
15-Dec-21,India,SEAR,6984,34710628,34710628,247,476135
16-Dec-21,India,SEAR,7974,34718602,34718602,343,476478
17-Dec-21,India,SEAR,7447,34726049,34726049,391,476869
